Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""button_Create Acccount""))",Edge Chromium 122,,,21-03-2024 14:29:44,21-03-2024 14:29:44,0.301s,PASSED
"verifyElementPresent(findTestObject(""div_Your user is created""), 1)",Edge Chromium 122,,,21-03-2024 14:29:44,21-03-2024 14:29:47,2.367s,FAILED
,,,,,,,
Test Cases/newuser/newuser01,Edge Chromium 122,Creacion de usuario,,21-03-2024 14:29:47,21-03-2024 14:29:58,11.625s,FAILED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 14:29:47,21-03-2024 14:29:50,2.765s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 14:29:50,21-03-2024 14:29:50,0.687s,PASSED
"click(findTestObject(""Object Repository/a_Sign Up""))",Edge Chromium 122,,,21-03-2024 14:29:50,21-03-2024 14:29:51,0.534s,PASSED
"setText(findTestObject(""Object Repository/input_Name_name""), name)",Edge Chromium 122,,,21-03-2024 14:29:51,21-03-2024 14:29:52,0.791s,PASSED
"setText(findTestObject(""Object Repository/input_Last Name_lastName""), lastname)",Edge Chromium 122,,,21-03-2024 14:29:52,21-03-2024 14:29:52,0.544s,PASSED
"setText(findTestObject(""Object Repository/input_Phone_phone""), phone)",Edge Chromium 122,,,21-03-2024 14:29:52,21-03-2024 14:29:53,0.634s,PASSED
"setText(findTestObject(""Object Repository/input_Email_email""), email)",Edge Chromium 122,,,21-03-2024 14:29:53,21-03-2024 14:29:53,0.550s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), username)",Edge Chromium 122,,,21-03-2024 14:29:53,21-03-2024 14:29:54,0.566s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), password)",Edge Chromium 122,,,21-03-2024 14:29:54,21-03-2024 14:29:54,0.328s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Confirm Password_confirmPassword""), password)",Edge Chromium 122,,,21-03-2024 14:29:54,21-03-2024 14:29:55,0.523s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneUserRestaurant""), ""user"", true)",Edge Chromium 122,,,21-03-2024 14:29:55,21-03-2024 14:29:56,1.019s,PASSED
"click(findTestObject(""button_Create Acccount""))",Edge Chromium 122,,,21-03-2024 14:29:56,21-03-2024 14:29:56,0.282s,PASSED
"verifyElementPresent(findTestObject(""div_Your user is created""), 1)",Edge Chromium 122,,,21-03-2024 14:29:56,21-03-2024 14:29:58,2.375s,FAILED
,,,,,,,
Test Cases/newuser/newuser01,Edge Chromium 122,Creacion de usuario,,21-03-2024 14:29:58,21-03-2024 14:30:10,11.545s,FAILED
"openBrowser("""")",Edge Chromium 122,,,21-03-2024 14:29:58,21-03-2024 14:30:01,2.514s,PASSED
"navigateToUrl(""http://localhost:3000/"")",Edge Chromium 122,,,21-03-2024 14:30:01,21-03-2024 14:30:02,0.676s,PASSED
"click(findTestObject(""Object Repository/a_Sign Up""))",Edge Chromium 122,,,21-03-2024 14:30:02,21-03-2024 14:30:02,0.524s,PASSED
"setText(findTestObject(""Object Repository/input_Name_name""), name)",Edge Chromium 122,,,21-03-2024 14:30:02,21-03-2024 14:30:03,0.900s,PASSED
"setText(findTestObject(""Object Repository/input_Last Name_lastName""), lastname)",Edge Chromium 122,,,21-03-2024 14:30:03,21-03-2024 14:30:04,0.543s,PASSED
"setText(findTestObject(""Object Repository/input_Phone_phone""), phone)",Edge Chromium 122,,,21-03-2024 14:30:04,21-03-2024 14:30:04,0.627s,PASSED
"setText(findTestObject(""Object Repository/input_Email_email""), email)",Edge Chromium 122,,,21-03-2024 14:30:04,21-03-2024 14:30:05,0.636s,PASSED
"setText(findTestObject(""Object Repository/input_User Name_username""), username)",Edge Chromium 122,,,21-03-2024 14:30:05,21-03-2024 14:30:05,0.583s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Password_password""), password)",Edge Chromium 122,,,21-03-2024 14:30:05,21-03-2024 14:30:06,0.313s,PASSED
"setEncryptedText(findTestObject(""Object Repository/input_Confirm Password_confirmPassword""), password)",Edge Chromium 122,,,21-03-2024 14:30:06,21-03-2024 14:30:06,0.543s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/select_Select OneUserRestaurant""), ""user"", true)",Edge Chromium 122,,,21-03-2024 14:30:06,21-03-2024 14:30:07,1.009s,PASSED
"click(findTestObject(""button_Create Acccount""))",Edge Chromium 122,,,21-03-2024 14:30:07,21-03-2024 14:30:08,0.282s,PASSED
"verifyElementPresent(findTestObject(""div_Your user is created""), 1)",Edge Chromium 122,,,21-03-2024 14:30:08,21-03-2024 14:30:10,2.379s,FAILED
